name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Algiers,Algeria",2021-01-03T03:00:00,42.8,38.6,33.8,70.3,0,0,,,,,6.9,250,,50,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-03T04:00:00,45,41,36.1,70.58,0,0,,,,,7.3,228,1010.2,27.7,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60373099999,60381099999,60369099999,60372099999,60394099999,60374099999"
"Algiers,Algeria",2021-01-03T05:00:00,42.8,38.6,33.8,70.3,0,0,,,,,6.9,240,,50,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-03T06:00:00,44.6,39.7,32,61.05,0,0,,,,,9.2,250,,50,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-03T07:00:00,46.4,44,37.3,70.36,0,0,,,0.39,,5,270,1010.9,78.6,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,60415099999,60437099999,60369099999,DAAG"
"Algiers,Algeria",2021-01-03T08:00:00,45.4,39.8,36.3,70.46,0,0,,,,23,11.5,267,1021.4,89.1,6.4,36,0.1,0,,Partially cloudy,partly-cloudy-night,"60390099999,9V8207,DAAG"
"Algiers,Algeria",2021-01-03T09:00:00,46.4,41.9,35.6,65.85,0,0,,,,,9.2,260,,89.1,6.2,157.6,0.6,2,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-03T10:00:00,47.4,45,38.4,70.95,0,0,,,,,5.2,197,1012.8,33.2,6.2,277.8,1,3,,Partially cloudy,partly-cloudy-day,"60373099999,60381099999,60369099999,60372099999,60394099999,60374099999"
"Algiers,Algeria",2021-01-03T11:00:00,51.8,51.8,37.4,57.8,0,0,,,,,12.8,270,,50,6.2,386.3,1.4,4,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-03T12:00:00,52.4,52.4,38.1,58.16,0,0,,,,,11.6,265,1020,51,6.4,443.6,1.6,4,,Partially cloudy,partly-cloudy-day,"60390099999,9V8207,DAAG"
"Algiers,Algeria",2021-01-03T13:00:00,51,51,40,65.79,0,0,,,,,4.1,152,1013.2,80.3,6.3,448.5,1.6,4,,Partially cloudy,partly-cloudy-day,"60390099999,60415099999,60437099999,60369099999,DAAG"
"Algiers,Algeria",2021-01-03T14:00:00,51.8,51.8,35.6,53.83,0,0,,,,,15,280,,89.1,6.2,415.4,1.5,4,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-03T15:00:00,51.8,51.8,35.6,53.83,0,0,,,,,13.9,280,,89.1,6.2,320.5,1.2,3,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-03T16:00:00,51.5,51.5,35.7,54.74,0,0,,,,,6.3,221,1013.2,22.2,6.2,167.4,0.6,2,,Partially cloudy,partly-cloudy-day,"60371099999,60373099999,60381099999,60369099999,60372099999,60374099999"
"Algiers,Algeria",2021-01-03T17:00:00,51.8,51.8,35.6,53.83,0,0,,,,,18.3,300,,50,6.2,21.9,0.1,0,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-03T18:00:00,50,50,33.8,53.56,0,0,,,,,12.8,280,,89.1,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-03T19:00:00,52.5,52.5,36,53.38,0,0,,,,,5.8,203,1014.3,59.2,6.4,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,60415099999,60437099999,60369099999,DAAG"
"Algiers,Algeria",2021-01-03T20:00:00,47.2,44.9,36.4,66.11,0,0,,,,,4.9,258,1017.2,50.3,6.4,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,9V8207,DAAG"
"Algiers,Algeria",2021-01-03T21:00:00,48.2,45.1,33.8,57.29,0,0,,,,,6.9,260,,50,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-03T22:00:00,47.6,45.4,31.8,54.15,0,0,,,,,5,174,1015,16.3,6.2,0,,0,,Clear,clear-night,"60371099999,60381099999,60369099999,60372099999,60394099999,60374099999"
"Algiers,Algeria",2021-01-03T23:00:00,44.6,40.7,32,61.05,0,0,,,,,6.9,250,,27.7,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-04T00:00:00,44.6,41.4,32,61.05,0,0,,,,,5.8,250,,50,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-04T01:00:00,49.6,46.8,35.9,59.07,0,0,,,,,6.7,223,1014,59.6,6.5,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,60369099999,DAAG"
"Algiers,Algeria",2021-01-04T02:00:00,41,37.1,32,70.1,0,0,,,,,5.8,250,,27.7,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-04T03:00:00,42.8,38,33.8,70.3,0,0,,,,,8.1,250,,27.7,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-04T04:00:00,47,43.9,35.3,63.43,0,0,,,,,6.5,217,1013.6,13.6,6.2,0,,0,,Clear,clear-night,"60371099999,60381099999,60369099999,60372099999,60394099999,60374099999"
"Algiers,Algeria",2021-01-04T05:00:00,41,36.4,33.8,75.35,0,0,,,,,6.9,260,,27.7,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-04T06:00:00,41,37.9,33.8,75.35,0,0,,,,,4.7,250,,27.7,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-04T07:00:00,49.1,47.4,37.2,63.36,0,0,,,0.39,,4.6,200,1013.2,47.1,6.4,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,60415099999,60437099999,60369099999,DAAG"
"Algiers,Algeria",2021-01-04T08:00:00,35.6,35.6,32,86.6,0,0,,,,,0,0,,27.7,6.2,53.7,0.2,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-04T09:00:00,37.4,37.4,35.6,93.14,0,0,,,,,2.2,160,,27.7,6.2,200.3,0.7,2,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-04T10:00:00,50.1,50.1,36.8,60.14,0,0,,,,,5.8,207,1013.8,10.9,6.2,325.8,1.2,3,,Clear,clear-day,"60371099999,60381099999,60369099999,60372099999,60394099999,60374099999"
"Algiers,Algeria",2021-01-04T11:00:00,55.4,55.4,37.4,50.66,0,0,,,,,8.1,260,,27.7,6.2,425.3,1.5,4,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-04T12:00:00,57.7,57.7,38.3,48.31,0,0,,,,21.9,10.3,265,1016.4,28.6,6.4,467.8,1.7,5,,Partially cloudy,partly-cloudy-day,"60390099999,9V8207,DAAG"
"Algiers,Algeria",2021-01-04T13:00:00,58.3,58.3,39.6,49.65,0,0,,,,,7.5,225,1011.8,48.5,6.4,449.5,1.6,4,,Partially cloudy,partly-cloudy-day,"60390099999,60415099999,60437099999,60369099999,DAAG"
"Algiers,Algeria",2021-01-04T14:00:00,57.2,57.2,35.6,44.22,0,0,,,,,15,280,,50,6.2,395.3,1.4,4,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-04T15:00:00,59,59,37.4,44.5,0,0,,,,,13.9,280,,50,6.2,293,1.1,3,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-04T16:00:00,58,58,37.9,47,0,0,,,,,6,212,1010.7,16.3,6.2,155.6,0.6,2,,Clear,clear-day,"60371099999,60381099999,60369099999,60372099999,60394099999,60374099999"
"Algiers,Algeria",2021-01-04T17:00:00,57.2,57.2,37.4,47.47,0,0,,,,,11.4,300,,50,6.2,21,0.1,0,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-04T18:00:00,53.6,53.6,37.4,54.1,0,0,,,,,6.9,290,,50,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
